FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Facial Bone Reconstruction,13,5,12.0,24.9
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Fallopian Tube/Ovarian Surgery,54,23,7.1,38.0
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Fracture Repair,14,16,1.3,16.0
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Free Flap Graft,<5,0,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Hand/Wrist Surgery,29,5,8.0,43.9
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Hernia Repair - Abdominal,229,94,6.1,17.4
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Hip Replacement,278,55,14.7,48.9
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Kidney/Bladder Stone Removal,25,25,3.6,12.4
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Knee - ACL Repair,39,21,7.4,17.6
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Knee Arthroscopy,74,35,4.7,27.4
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Knee Replacement,480,68,16.4,52.9
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Laparoscopy,17,7,8.9,27.3
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Laparotomy,<5,0,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Ligament Surgery,15,0,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Lipectomy,7,0,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Male Reproductive Surgery,19,6,2.4,13.5
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Mastectomy,19,54,2.0,6.5
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Mastoidectomy,<5,0,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Myringotomy,6,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Nasal Surgery,145,28,18.3,53.7
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Nerve Surgery,20,16,5.5,19.4
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Other Ear Surgery,5,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Other Eye Surgery,6,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Other Joint Reconstruction,92,11,4.1,65.7
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Other Orthopaedic Surgery,98,42,4.1,68.5
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Other Urology Surgery,24,38,4.5,15.6
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Parotidectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Prostate Surgery,76,30,5.2,12.0
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Rectal Surgery,43,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Shoulder Surgery,113,30,4.6,23.6
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Sinus Surgery,135,28,18.3,49.1
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Skin Surgery,17,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Skin Tumour Removal,19,7,9.1,25.5
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Sphincterotomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Spinal/Back Surgery,265,191,3.0,16.3
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Tendon Surgery,7,6,0.6,5.4
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Thyroidectomy,9,8,4.8,13.8
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Tonsillectomy/Adenoidectomy,71,13,17.4,40.1
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Tympanoplasty,39,11,12.0,85.0
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Uterine Surgery,203,132,3.1,19.3
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Vaginal Repair,36,6,23.9,41.4
2021/22,Q1,Vancouver Coastal,Lions Gate Hospital,Wound/Laceration Care,<5,5,1.6,5.8
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,All Other Procedures,19,31,4.0,12.0
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,All Procedures,3883,4483,4.9,24.6
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Appendectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Biopsy in OR,14,21,10.1,11.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Bladder Surgery,21,26,2.5,5.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Bowel Resection,<5,7,1.3,3.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Breast Biopsy,26,61,4.4,10.6
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Breast Reconstruction,90,52,4.1,24.0
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Breast Reduction,71,23,15.0,112.8
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Cataract Surgery,2186,2715,5.7,25.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Cholecystectomy,51,42,5.9,16.5
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Cyst/Ganglion Removal,8,7,5.3,9.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Examination Under Anaesthetic,17,8,4.9,7.5
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Excision Gynecomastia,12,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Excision Lesion/Tumour,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Fracture Repair,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Free Flap Graft,<5,0,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Hand/Wrist Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Hernia Repair - Abdominal,149,125,7.9,25.7
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Kidney/Bladder Stone Removal,9,29,1.4,6.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Lens & Vitreous (non-cataract) Surgery,253,456,2.3,30.4
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Ligament Surgery,<5,0,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Lipectomy,11,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Male Reproductive Surgery,28,19,9.0,13.3
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Mastectomy,64,185,2.4,6.0
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Nasal Surgery,97,81,5.6,16.9
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Nerve Surgery,11,5,6.3,15.9
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Ear Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Eye Surgery,408,322,3.3,36.1
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Joint Reconstruction,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Orthopaedic Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Urology Surgery,46,62,5.2,10.9
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Prostate Surgery,27,39,5.0,9.4
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Rectal Surgery,66,39,8.9,22.7
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Sinus Surgery,30,13,11.9,30.2
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Skin Surgery,71,22,30.2,124.6
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Skin Tumour Removal,23,17,7.3,16.8
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Sphincterotomy,5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Thyroidectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Tonsillectomy/Adenoidectomy,20,15,5.0,12.4
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Tympanoplasty,<5,8,6.4,8.2
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Vaginal Repair,21,21,3.6,19.9
2021/22,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Wound/Laceration Care,5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,All Other Procedures,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,All Procedures,159,285,6.0,11.9
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Bladder Surgery,<5,0,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Bowel Resection,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Cataract Surgery,100,140,4.1,11.2
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Cholecystectomy,<5,9,4.9,9.3
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Cone Biopsy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,D&C and Related Surgery,9,12,6.6,8.0
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Dental Surgery,10,24,9.0,17.3
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Examination Under Anaesthetic,<5,12,6.6,9.9
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Fallopian Tube/Ovarian Surgery,<5,5,7.6,8.4
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Hand/Wrist Surgery,<5,9,9.9,10.5
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Hernia Repair - Abdominal,7,21,7.0,9.0
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Laparoscopy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Mastectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Other Eye Surgery,<5,5,10.0,11.6
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Other Orthopaedic Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Skin Tumour Removal,<5,<5,,
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Uterine Surgery,5,6,5.1,5.8
2021/22,Q1,Vancouver Coastal,Powell River General Hospital,Varicose Veins Ligation/Stripping,<5,0,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,All Other Procedures,16,12,4.6,11.7
2021/22,Q1,Vancouver Coastal,Richmond Hospital,All Procedures,2314,1365,5.3,23.0
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Aortic Aneurysm Repair,5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Appendectomy,6,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Bariatric Surgery,113,48,15.6,25.4
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Biopsy in OR,8,12,3.1,4.1
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Bladder Surgery,37,42,3.1,18.5
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Bowel Resection,16,30,2.8,4.2
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Breast Biopsy,6,20,4.1,9.2
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Breast Reconstruction,<5,0,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Breast Reduction,180,39,23.0,33.9
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Cholecystectomy,94,42,10.4,27.4
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Colostomy/Ileostomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Cone Biopsy,<5,0,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Cyst/Ganglion Removal,36,17,3.0,12.7
2021/22,Q1,Vancouver Coastal,Richmond Hospital,D&C and Related Surgery,28,24,5.5,14.2
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Endarterectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Excision Gynecomastia,16,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Excision Lesion/Tumour,<5,0,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Fallopian Tube/Ovarian Surgery,42,27,7.9,14.5
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Foot/Ankle Surgery,21,5,10.4,15.0
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Fracture Repair,19,50,0.2,0.7
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Hand/Wrist Surgery,10,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Hernia Repair - Abdominal,206,65,12.7,28.1
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Hernia Repair - Hiatal,5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Hip Replacement,81,55,12.0,41.9
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Knee - ACL Repair,11,20,3.8,19.6
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Knee Arthroscopy,55,32,6.2,19.8
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Knee Replacement,229,93,13.1,35.0
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Laparoscopy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Laparotomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Lipectomy,18,7,5.1,37.3
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Male Reproductive Surgery,39,19,4.7,14.5
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Mastectomy,13,39,2.9,5.0
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Mastoidectomy,9,0,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Myringotomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Nasal Surgery,220,67,9.0,19.5
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Nerve Surgery,<5,7,0.3,4.9
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Other Ear Surgery,5,5,3.9,41.3
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Other Eye Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Other Joint Reconstruction,12,8,6.4,19.9
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Other Orthopaedic Surgery,31,23,2.7,11.9
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Other Urology Surgery,79,140,2.6,9.1
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Parotidectomy,<5,0,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Prostate Surgery,68,99,3.9,10.5
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Rectal Surgery,74,26,14.8,33.4
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Shoulder Surgery,47,18,3.9,35.6
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Sinus Surgery,79,22,9.1,54.6
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Skin Surgery,26,12,8.9,22.1
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Skin Tumour Removal,16,18,2.3,8.3
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Tendon Surgery,7,22,0.3,6.5
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Tonsillectomy/Adenoidectomy,52,23,8.3,14.1
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Tympanoplasty,19,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Uterine Surgery,169,120,5.9,13.2
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Vaginal Repair,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Varicose Veins Ligation/Stripping,53,7,42.0,61.3
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Vascular Bypass Graft - Non Cardiac,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Vascular Surgery - Other,<5,<5,,
2021/22,Q1,Vancouver Coastal,Richmond Hospital,Wound/Laceration Care,7,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,All Other Procedures,<5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,All Procedures,770,427,12.9,57.0
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Bowel Resection,<5,5,3.4,5.3
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Cataract Surgery,656,324,20.4,57.9
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Cholecystectomy,11,5,8.1,15.7
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Cyst/Ganglion Removal,5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,D&C and Related Surgery,<5,9,6.1,8.5
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Dental Surgery,5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Fallopian Tube/Ovarian Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Hand/Wrist Surgery,<5,7,4.4,16.5
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Hernia Repair - Abdominal,32,25,15.3,29.2
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Laparoscopy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Male Reproductive Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Other Eye Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Other Urology Surgery,12,17,2.9,16.7
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Prostate Surgery,8,6,5.9,33.9
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Rectal Surgery,22,0,,
2021/22,Q1,Vancouver Coastal,Sechelt Hospital,Wound/Laceration Care,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,All Other Procedures,<5,8,1.0,1.6
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,All Procedures,505,415,3.3,35.4
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Biopsy in OR,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Breast Reconstruction,9,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Breast Reduction,22,17,27.0,89.5
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Cholecystectomy,9,14,3.6,27.6
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Cyst/Ganglion Removal,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,D&C and Related Surgery,5,17,1.0,2.4
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Dental Surgery,12,19,1.0,6.5
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Examination Under Anaesthetic,<5,0,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Excision Gynecomastia,<5,0,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Excision Lesion/Tumour,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Fallopian Tube/Ovarian Surgery,<5,6,1.1,9.0
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Fracture Repair,10,19,0.1,0.5
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Hand/Wrist Surgery,5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Hernia Repair - Abdominal,61,66,3.8,39.4
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Knee - ACL Repair,60,55,4.1,11.8
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Knee Arthroscopy,88,47,3.4,14.1
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Knee Replacement,<5,0,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Ligament Surgery,<5,0,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Myringotomy,5,0,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Nasal Surgery,25,12,5.2,30.7
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Nerve Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Other Joint Reconstruction,6,5,2.9,33.0
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Other Orthopaedic Surgery,49,31,3.9,49.0
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Other Urology Surgery,<5,0,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Rectal Surgery,11,6,3.8,27.6
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Shoulder Surgery,82,37,4.1,35.1
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Skin Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Skin Tumour Removal,7,5,5.3,43.0
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Sphincterotomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Tendon Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Tonsillectomy/Adenoidectomy,15,9,5.9,23.9
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Uterine Surgery,<5,13,0.6,1.0
2021/22,Q1,Vancouver Coastal,Squamish General Hospital,Vaginal Repair,<5,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,All Other Procedures,59,111,2.3,8.9
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,All Procedures,2697,2144,4.1,37.2
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Aortic Aneurysm Repair,<5,5,5.0,7.8
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Appendectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Biopsy in OR,57,46,5.9,33.0
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Bladder Surgery,30,35,3.1,7.5
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Bowel Resection,27,86,2.1,6.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Breast Reconstruction,8,0,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Breast Reduction,9,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Cholecystectomy,6,14,2.0,3.7
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Colostomy/Ileostomy,25,31,4.7,28.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Cyst/Ganglion Removal,13,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,D&C and Related Surgery,22,11,8.7,15.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Endarterectomy,<5,13,2.1,6.6
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Esophagectomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Examination Under Anaesthetic,6,8,1.6,4.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Excision Gynecomastia,<5,0,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Excision Lesion/Tumour,48,47,4.6,28.9
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Fallopian Tube/Ovarian Surgery,32,28,8.8,26.9
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Foot/Ankle Surgery,200,89,26.3,75.6
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Fracture Repair,15,132,0.4,1.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Free Flap Graft,<5,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Hand/Wrist Surgery,40,29,1.9,21.7
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Hernia Repair - Abdominal,37,79,2.0,8.7
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Hip Replacement,102,58,22.6,44.5
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Kidney/Bladder Stone Removal,17,32,2.3,5.6
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Knee - ACL Repair,24,23,5.4,41.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Knee - Meniscectomy,6,7,0.9,2.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Knee Arthroscopy,44,14,21.5,53.5
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Knee Replacement,146,47,27.3,48.5
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Laparoscopy,7,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Laparotomy,<5,7,2.0,6.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Ligament Surgery,27,28,3.7,18.6
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Lipectomy,<5,0,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Male Reproductive Surgery,10,5,3.0,7.7
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Mastoidectomy,26,19,3.0,10.5
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Myringotomy,13,0,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Nasal Surgery,48,17,19.3,114.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Nerve Surgery,26,52,6.6,45.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Other Ear Surgery,58,17,10.7,47.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Other Eye Surgery,<5,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Other Joint Reconstruction,247,134,14.0,59.3
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Other Orthopaedic Surgery,178,128,3.6,40.8
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Other Urology Surgery,52,65,5.3,12.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Parotidectomy,14,6,3.1,32.6
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Prostate Surgery,30,37,5.1,9.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Rectal Surgery,31,39,4.3,14.8
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Shoulder Surgery,53,28,19.1,50.2
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Sinus Surgery,252,110,11.0,48.6
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Skin Surgery,5,7,1.7,6.9
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Skin Tumour Removal,<5,5,0.9,22.1
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Sphincterotomy,<5,<5,,
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Spinal/Back Surgery,58,41,11.6,42.7
2021/22,Q1,Vancouver Coastal,St. Paul'S Hospital,Tendon Surgery,54,43,1.7,29.3
